frame_idx	x	y	vel_x	vel_y
59	32.9	49.59	-11.3	0.5
59	48.51	48.9	-9.8	0.5
59	59.3	41.44	-0.6	6.5
59	58.97	29.3	0.3	5.4
60	3.23	50.9	-13	0.6
60	27.08	49.85	-12.1	0.5
60	43.47	49.13	-10.7	0.4
60	58.41	44.77	-3.7	6.8
60	59.12	32.22	0.3	6.5
60	58.68	23.37	0.2	3.1
61	20.8	50.13	-13	0.5
61	37.89	49.37	-11.8	0.5
61	55.7	47.54	-6.7	4.5
61	59.28	35.61	0.4	7.2
61	58.77	25.15	0.2	4.1
62	14.33	50.41	-12.9	0.6
62	31.89	49.64	-12.1	0.5
62	51.87	48.64	-7.8	1.5
62	59.46	39.23	-0.1	7.1
62	58.88	27.43	0.3	5.2
63	7.88	50.7	-12.9	0.5
63	25.83	49.9	-12.3	0.6
63	47.7	48.94	-9	0.4
63	59.19	42.59	-0.6	7.1
63	59.02	30.18	0.3	5.9
63	58.63	22.28	0.1	3
64	19.7	50.17	-12.2	0.6
64	43	49.15	-10.1	0.4
64	57.73	46.04	-5.7	5.4
64	59.17	33.36	0.4	7
64	58.71	23.96	0.2	4.1
65	13.37	50.45	-13.3	0.6
65	37.78	49.38	-11.1	0.5
65	54.41	48.16	-7.9	1.5
65	59.35	36.89	0.3	7.2
65	58.82	26.19	0.3	5.1
66	6.53	50.75	-14.1	0.7
66	32.03	49.63	-12.1	0.5
66	50.45	48.82	-8.3	0.3
66	59.39	40.51	-0.6	6.4
66	58.96	28.96	0.3	5.7
67	25.76	49.91	-13.1	0.5
67	46.16	49.01	-9.1	0.4
67	58.86	43.92	-3.7	6.9
67	59.1	31.79	0.3	6.1
67	58.67	23.11	0.2	3.1
68	18.97	50.21	-14	0.6
68	41.43	49.22	-9.9	0.4
68	56.6	46.95	-6.5	4.3
68	59.26	35.02	0.3	6.7
68	58.76	24.89	0.2	4.2
69	11.95	50.52	-14.1	0.6
69	36.28	49.44	-10.8	0.5
69	53.1	48.41	-7.7	1.4
69	59.42	38.44	0.4	7.2
69	58.87	27.15	0.2	5
70	4.91	50.83	-14	0.6
70	30.64	49.69	-11.8	0.5
70	49.24	48.87	-8.3	0.4
70	59.26	41.84	-0.6	6.9
70	59	29.82	0.3	5.7
70	58.63	22.28	0.1	2.4
71	24.5	49.96	-12.9	0.6
71	44.91	49.06	-9.2	0.4
71	58.21	45.14	-3.4	6.2
71	59.15	32.78	0.3	6.3
71	58.7	23.73	0.2	3.6
72	17.81	50.26	-13.9	0.6
72	40.13	49.27	-10	0.5
72	55.74	47.52	-5.9	3.9
72	59.3	35.92	0.3	6.3
72	58.8	25.72	0.2	4.6
73	10.83	50.57	-14	0.6
73	34.9	49.5	-11.1	0.5
73	52.42	48.54	-7	1.3
73	59.46	39.18	0	6.5
73	58.92	28.12	0.2	5.2
74	3.86	50.87	-14.1	0.6
74	29.17	49.76	-12	0.5
74	48.83	48.89	-7.7	0.3
74	59.21	42.44	-0.7	6.6
74	59.05	30.76	0.2	5.5
74	58.64	22.55	0.2	2.8
75	22.96	50.03	-13	0.6
75	44.76	49.07	-8.8	0.4
75	58.04	45.46	-3.2	5.8
75	59.18	33.54	0.3	5.6
75	58.72	24.14	0.2	3.7
76	16.32	50.32	-13.4	0.6
76	40.12	49.27	-10	0.5
76	55.65	47.58	-5.5	3.6
76	59.32	36.42	0.3	5.7
76	58.82	26.12	0.2	4.3
77	9.59	50.62	-13.5	0.6
77	34.9	49.5	-10.9	0.5
77	52.58	48.51	-6.5	1.2
77	59.47	39.42	-0.4	6.4
77	58.93	28.38	0.2	5
78	2.86	50.92	-13.5	0.6
78	29.2	49.75	-12.1	0.6
78	49.26	48.87	-7.1	0.3
78	59.2	42.55	-0.6	6.3
78	59.06	30.93	0.2	5.1
78	58.65	22.78	0.2	2.4
79	23.08	50.02	-12.2	0.6
79	45.51	49.04	-8.1	0.3
79	57.96	45.59	-3.2	6.1
79	59.19	33.63	0.3	6
79	58.73	24.22	0.1	3.5
80	16.94	50.3	-12.3	0.5
80	41.31	49.22	-9	0.4
80	55.37	47.77	-6	3.3
80	59.34	36.63	0.3	6.1
80	58.82	26.19	0.2	4.5
81	10.79	50.57	-12.3	0.5
81	36.62	49.43	-9.9	0.4
81	52.06	48.6	-6.9	1.3
81	59.46	39.79	-0.7	6.8
81	58.94	28.58	0.3	5.2
82	4.65	50.84	-12.3	0.5
82	31.5	49.65	-10.7	0.5
82	48.49	48.9	-7.7	0.4
82	59.16	42.98	-1.4	6.5
82	59.07	31.21	0.3	5.5
82	58.66	22.79	0.1	2.7
83	25.95	49.9	-11.4	0.5
83	44.44	49.08	-8.8	0.4
83	57.65	46.17	-5.5	4.5
83	59.21	34.14	0.3	6.3
83	58.73	24.34	0.2	3.7
84	20.25	50.15	-11.4	0.5
